,Country,Year,F_AD_MS,F_CH_MS,POP_AD_MS,POP_CH_MS,F_TOT_MS,POP_TOTAL_MS,F_AD_S,F_CH_S,POP_AD_S,POP_CH_S,F_TOT_S,POP_TOTAL_S,P_MS,P_S
0,Kazakhstan,2014,0.0737473506983265,0.0771669517765911,198.896604833386,72.1510999111127,0.0746276720111507,271.047704744499,0.00647801388527379,0.0059556957903714,17.4712034485834,5.56857556399726,0.00634355149024798,23.0397790125806,7.46276720111507,0.634355149024798
1,Kazakhstan,2015,0.0445292394258593,0.0445360861005559,125.438867462645,46.2729934584776,0.0445310842637768,171.711860921123,0.00446525353542173,0.00206087542536267,12.578619209283,2.14124956695182,0.00381739335483268,14.7198687762348,4.45310842637768,0.381739335483269
2,Kazakhstan,2016,0.0720869798027684,0.0792208850878727,162.700313414848,70.348145958031,0.074101258942092,233.048459372879,0.0171013262810929,0.0141632382491542,38.5976934164268,12.576955565249,0.0162717484838396,51.1746489816758,7.4101258942092,1.62717484838397
3,Kazakhstan,2017,0.0902555005068041,0.138347314211472,212.190681691496,149.830141291024,0.105422487764275,362.020822982521,0.0166354834010708,0.0300567902545858,39.1100214759176,32.5515038457164,0.0208682368438072,71.6615253216341,10.5422487764275,2.08682368438072
4,Kyrgyzstan,2014,0.187536507927417,0.213589454005537,526.790050768114,326.364685720461,0.196715410765177,853.154736488576,0.0420191974769523,0.0486642823113739,118.031925712759,74.3590233717794,0.0443603756247495,192.390949084538,19.6715410765177,4.43603756247495
5,Kyrgyzstan,2015,0.210590077450972,0.236126726857775,621.87249871272,402.123815838791,0.219930479929448,1023.99631455151,0.0443482121187993,0.0540326097917747,130.960270386814,92.0175344753924,0.0478904220064877,222.977804862206,21.9930479929448,4.78904220064877
6,Kyrgyzstan,2016,0.195813010021485,0.221399630781223,527.128622977839,407.818119899014,0.206207927409981,934.946742876853,0.0381252676445434,0.04403456041365,102.633220499111,81.1116602819434,0.0405259992900428,183.744880781054,20.6207927409981,4.05259992900428
7,Kyrgyzstan,2017,0.194496547506001,0.234918518323287,488.38083078757,426.377110756766,0.211455834846124,914.757941544336,0.0386215836769121,0.039676318649719,96.9787966127264,72.0125183492401,0.03906410424456,168.991314961966,21.1455834846124,3.906410424456
8,Tadjikistan,2014,0.132343116080767,0.14324093650993,546.180040065326,336.329718925317,0.136294943473458,882.509758990644,0.0326059020216497,0.0360137297466016,134.564557643348,84.5602374450207,0.0338416671951149,219.124795088369,13.6294943473458,3.38416671951149
9,Tadjikistan,2015,0.110867274985621,0.113818191765843,439.699612592975,260.757477335547,0.111947752905309,700.457089928523,0.0201963076718043,0.0199540801707664,80.0985562263762,45.7147976712258,0.0201076160935915,125.813353897602,11.1947752905309,2.01076160935915
10,Tadjikistan,2016,0.195985274404703,0.222015725122902,797.856052101546,521.514938313698,0.205509500064679,1319.37099041524,0.0663744293479823,0.081211458731687,270.210301875636,190.765716560732,0.0718031181365061,460.976018436369,20.5509500064679,7.18031181365061
11,Tadjikistan,2017,0.239214618954408,0.261766866703168,715.73013991159,651.01419749078,0.249451421318191,1366.74433740237,0.0790181441765789,0.100630838401613,236.422287376324,250.268895104813,0.0888284691515126,486.691182481137,24.9451421318191,8.88284691515126
12,UZB,2014,0.0987260266745444,0.106372408381244,377.429599976783,167.536543200459,0.10095704764306,544.966143177242,0.0180251381692792,0.0214099510677443,68.9101032211544,33.7206729316973,0.0190127410435071,102.630776152851,10.095704764306,1.90127410435071
13,UZB,2015,0.124820791481047,0.124817880693425,450.103774080659,193.467715074808,0.124819916438221,643.571489155467,0.0218554935678458,0.0185846911207782,78.8109098056522,28.8062712372062,0.0208722228554806,107.617181042858,12.4819916438221,2.08722228554806
14,UZB,2016,0.103393482710172,0.107334015543979,376.352277065029,167.333730233063,0.104575112001941,543.686007298093,0.0161663384993772,0.01384004359357,58.845472137733,21.5766279623756,0.0154687632429522,80.4221001001086,10.4575112001941,1.54687632429522
15,UZB,2017,0.163424149569493,0.175123099356214,572.474795941935,287.201882944191,0.16715471104144,859.676678886127,0.0264106738757942,0.0261581419435909,92.5165905869072,42.8993527874891,0.0263301464853969,135.415943374396,16.715471104144,2.63301464853969
16,Asia,2014,0.123088250345263,0.135092437668325,412.324073910902,225.595511939337,0.127148768473211,637.91958585024,0.0247820628882887,0.0280109147290228,84.7444475064613,49.5521273281237,0.0258895838384049,134.296574834585,12.7148768473211,2.5889538384049
17,Asia,2015,0.122701845835875,0.1298247213544,409.27868821225,225.655500426906,0.125307308384189,634.934188639156,0.0227163167234678,0.0236580641271705,75.6120889070314,42.169963237694,0.0231719135775981,117.782052144725,12.5307308384189,2.31719135775981
18,Asia,2016,0.141819686734782,0.157492564133994,466.009316389815,291.753733600951,0.147598449604673,757.763049990767,0.034441840443249,0.0383123252470153,117.571671982226,76.5077400925752,0.0360174072883352,194.079412074802,14.7598449604673,3.60174072883352
19,Asia,2017,0.171847704134176,0.202538949648535,497.194112083148,378.60583312069,0.183371113742507,875.799945203838,0.040171471282589,0.0491305223123774,116.256924012968,99.4330675218148,0.0437727391813192,215.689991534783,18.3371113742507,4.37727391813192
